央视频道,#genre#
北京IPTV淘剧场,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226553/1.m3u8
北京IPTV淘娱乐,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226551/1.m3u8
北京IPTV淘电影,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226552/1.m3u8
北京IPTV萌宠TV,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226555/1.m3u8
北京大健康,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226556/1.m3u8

CHC高清电影,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls260.m3u8
CHC家庭影院,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls259.m3u8
CHC动作电影,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls261.m3u8
家庭剧场,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls75a28.m3u8
大众影视,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls75a27.m3u8
家庭影院,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls75a29.m3u8
卡通剧场,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls77a30.m3u8
爱映画,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls78a46.m3u8



